File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_8_run_10.log                   1         -0.746         -22.422        -21.480        -0.942         0              0.000          -8.922         
11996452_8_run_12.log                   2         2.447          -19.445        -18.390        -1.055         0              4.995          -8.600         
11996452_8_run_6.log                    3         2.829          -18.764        -18.675        -0.089         0              3.680          -8.610         
11996452_8_run_18.log                   4         3.508          -18.100        -15.645        -2.455         0              4.085          -8.340         
11996452_8_run_6.log                    6         5.050          -16.990        -7.292         -9.698         0              4.752          -7.611         
11996452_8_run_2.log                    7         6.953          -15.061        -13.695        -1.366         0              4.595          -8.112         
11996452_8_run_24.log                   8         7.269          -14.653        -13.122        -1.531         0              3.628          -8.055         
11996452_8_run_18.log                   9         8.939          -12.658        -11.494        -1.164         0              4.140          -7.876         
11996452_8_run_6.log                    13        9.403          -12.586        -10.983        -1.603         0              3.722          -7.832         
11996452_8_run_20.log                   15        10.311         -11.411        -9.422         -1.989         0              2.111          -7.676         
