File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_7_run_2.log                    1         1.474          -20.029        -19.200        -0.829         0              0.000          -8.680         
11996452_7_run_5.log                    2         3.176          -18.777        -18.498        -0.279         0              3.591          -8.595         
11996452_7_run_3.log                    3         3.418          -18.115        -16.937        -1.178         0              4.058          -8.449         
11996452_7_run_2.log                    4         4.115          -17.894        -17.806        -0.088         0              5.040          -8.518         
11996452_7_run_22.log                   12        8.547          -13.016        -12.865        -0.151         0              2.034          -8.000         
11996452_7_run_5.log                    12        8.743          -13.145        -12.800        -0.345         0              4.104          -7.997         
11996452_7_run_20.log                   11        11.476         -10.426        -9.011         -1.415         0              3.514          -7.620         
11996452_7_run_18.log                   12        12.348         -9.553         -9.046         -0.507         0              4.666          -7.605         
11996452_7_run_14.log                   16        14.777         -7.231         -6.888         -0.343         0              3.827          -7.375         
