File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_2_run_22.log                   1         -0.727         -21.816        -21.202        -0.614         0              0.000          -8.886         
11996452_2_run_21.log                   2         -0.289         -21.441        -20.786        -0.655         0              4.074          -8.843         
11996452_2_run_22.log                   4         0.702          -20.366        -19.857        -0.509         0              4.870          -8.743         
11996452_2_run_7.log                    5         1.565          -19.476        -19.384        -0.092         0              3.637          -8.684         
11996452_2_run_6.log                    7         3.911          -17.192        -16.245        -0.947         0              2.283          -8.372         
11996452_2_run_18.log                   9         6.100          -14.983        -14.426        -0.557         0              3.689          -8.172         
11996452_2_run_4.log                    10        6.824          -14.273        -13.601        -0.672         0              4.819          -8.088         
11996452_2_run_16.log                   10        8.525          -12.505        -9.062         -3.443         0              3.975          -7.668         
11996452_2_run_21.log                   12        9.174          -12.661        -10.285        -2.376         0              3.782          -7.774         
11996452_2_run_22.log                   13        9.658          -11.419        -10.872        -0.547         0              3.420          -7.798         
