File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_4_run_21.log                   1         -1.128         -22.246        -20.958        -1.288         0              0.000          -8.875         
11996452_4_run_15.log                   2         0.223          -21.150        -20.964        -0.186         0              3.561          -8.852         
11996452_4_run_6.log                    3         1.484          -19.773        -18.199        -1.574         0              4.106          -8.590         
11996452_4_run_11.log                   7         2.463          -19.687        -18.629        -1.058         0              5.070          -8.625         
11996452_4_run_16.log                   8         6.835          -14.349        -13.460        -0.889         0              2.033          -8.078         
11996452_4_run_12.log                   10        10.423         -10.946        -10.373        -0.573         0              4.272          -7.746         
11996452_4_run_5.log                    8         14.003         -7.032         -6.773         -0.259         0              3.762          -7.361         
11996452_4_run_12.log                   13        15.977         -5.127         -4.802         -0.325         0              3.673          -7.155         
