File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_8.log                       1         13.433         -20.573        -20.179        -0.394         0              0.000          -8.774         
5281519_run_22.log                      2         14.240         -19.767        -19.365        -0.402         0              3.527          -8.689         
5281519_run_1.log                       4         16.374         -17.632        -17.960        0.328          0              4.342          -8.526         
5281519_run_6.log                       5         18.353         -15.653        -15.116        -0.537         0              4.953          -8.245         
5281519_run_24.log                      6         18.919         -15.088        -14.558        -0.530         0              3.653          -8.186         
5281519_run_10.log                      10        20.005         -14.002        -13.910        -0.092         0              5.326          -8.108         
5281519_run_13.log                      11        21.318         -12.689        -12.455        -0.234         0              4.506          -7.958         
5281519_run_6.log                       16        23.708         -10.299        -10.393        0.094          0              4.192          -7.735         
5281519_run_18.log                      18        28.689         -5.318         -5.291         -0.027         0              3.873          -7.200         
