File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_9_run_19.log                   1         0.030          -22.792        -18.566        -4.226         0              0.000          -8.684         
11996452_9_run_3.log                    2         0.425          -22.312        -21.813        -0.499         0              3.738          -8.948         
11996452_9_run_11.log                   3         0.451          -22.373        -18.737        -3.636         0              2.664          -8.690         
11996452_9_run_3.log                    6         6.927          -15.724        -14.044        -1.680         0              4.057          -8.155         
11996452_9_run_8.log                    6         7.184          -15.508        -15.356        -0.152         0              4.919          -8.262         
11996452_9_run_8.log                    8         9.043          -13.641        -13.611        -0.030         0              4.110          -8.076         
11996452_9_run_16.log                   10        10.850         -11.934        -10.424        -1.510         0              4.484          -7.771         
11996452_9_run_3.log                    11        11.651         -10.996        -10.588        -0.408         0              3.581          -7.766         
11996452_9_run_1.log                    13        13.646         -9.003         -6.225         -2.778         0              3.252          -7.356         
11996452_9_run_5.log                    14        14.317         -8.360         -6.206         -2.154         0              4.461          -7.341         
