File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_6_run_17.log                   1         1.490          -21.535        -20.005        -1.530         0              0.000          -8.779         
11996452_6_run_10.log                   2         2.203          -20.628        -11.493        -9.135         0              4.884          -8.041         
11996452_6_run_20.log                   3         4.732          -17.957        -17.604        -0.353         0              3.598          -8.502         
11996452_6_run_12.log                   4         6.678          -16.859        -13.755        -3.104         0              4.314          -8.154         
11996452_6_run_3.log                    6         7.140          -16.275        -14.995        -1.280         0              4.190          -8.247         
11996452_6_run_22.log                   7         7.463          -15.559        -15.233        -0.326         0              4.357          -8.252         
11996452_6_run_9.log                    10        8.024          -16.366        -12.339        -4.027         0              3.976          -8.025         
11996452_6_run_11.log                   10        8.062          -14.951        -14.166        -0.785         0              4.833          -8.150         
11996452_6_run_2.log                    12        8.724          -14.001        -12.401        -1.600         0              3.482          -7.981         
11996452_6_run_21.log                   14        10.309         -12.703        -12.103        -0.600         0              4.047          -7.929         
