File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_10_run_22.log                  1         7.118          -15.343        -6.966         -8.377         0              0.000          -7.549         
11996452_10_run_23.log                  1         7.783          -13.903        -9.445         -4.458         0              4.440          -7.729         
11996452_10_run_12.log                  2         8.050          -13.681        -7.728         -5.953         0              2.217          -7.579         
11996452_10_run_12.log                  5         9.025          -12.380        -8.515         -3.865         0              2.894          -7.619         
11996452_10_run_17.log                  3         9.147          -12.361        -8.300         -4.061         0              5.248          -7.600         
11996452_10_run_14.log                  6         9.216          -12.271        -9.858         -2.413         0              21.091         -7.730         
11996452_10_run_10.log                  5         9.534          -12.107        -7.493         -4.614         0              5.188          -7.527         
11996452_10_run_11.log                  7         9.580          -11.825        -11.193        -0.632         0              12.041         -7.834         
11996452_10_run_13.log                  7         9.588          -12.107        -10.580        -1.527         0              3.662          -7.788         
11996452_10_run_14.log                  10        9.699          -11.732        -8.865         -2.867         0              5.495          -7.635         
