File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_2_run_15.log                   1         6.715          -14.567        -7.859         -6.708         0              0.000          -7.609         
11996452_2_run_11.log                   2         7.181          -13.957        -9.411         -4.546         0              3.807          -7.727         
11996452_2_run_16.log                   3         7.898          -13.355        -9.903         -3.452         0              2.179          -7.756         
11996452_2_run_17.log                   3         8.513          -12.598        -7.165         -5.433         0              4.319          -7.509         
11996452_2_run_3.log                    5         8.637          -12.399        -12.414        0.015          0              13.719         -7.949         
11996452_2_run_6.log                    5         8.841          -12.181        -8.359         -3.822         0              2.080          -7.602         
11996452_2_run_14.log                   7         8.902          -12.276        -7.390         -4.886         0              4.441          -7.522         
11996452_2_run_19.log                   6         8.906          -13.531        -7.953         -5.578         0              3.667          -7.595         
11996452_2_run_9.log                    7         8.956          -12.171        -8.267         -3.904         0              4.685          -7.594         
11996452_2_run_3.log                    7         9.011          -12.025        -12.281        0.256          0              13.621         -7.930         
