File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_8_run_15.log                   1         5.698          -16.201        -10.405        -5.796         0              0.000          -7.858         
11996452_8_run_13.log                   2         7.543          -14.371        -9.390         -4.981         0              3.938          -7.734         
11996452_8_run_22.log                   5         9.071          -12.794        -8.953         -3.841         0              2.601          -7.665         
11996452_8_run_23.log                   7         9.083          -12.755        -6.996         -5.759         0              4.039          -7.498         
11996452_8_run_17.log                   6         9.244          -12.346        -7.090         -5.256         0              5.281          -7.498         
11996452_8_run_14.log                   7         9.285          -12.585        -7.724         -4.861         0              3.825          -7.556         
11996452_8_run_4.log                    9         9.736          -12.012        -7.671         -4.341         0              3.427          -7.540         
11996452_8_run_14.log                   11        9.820          -12.116        -9.659         -2.457         0              20.180         -7.710         
11996452_8_run_7.log                    10        9.911          -12.228        -7.685         -4.543         0              3.769          -7.546         
11996452_8_run_2.log                    10        9.979          -11.955        -7.525         -4.430         0              2.766          -7.527         
