File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_9_run_11.log                   1         6.134          -17.033        -16.826        -0.207         0              0.000          -8.418         
11996452_9_run_23.log                   2         6.913          -16.181        -13.122        -3.059         0              4.701          -8.087         
11996452_9_run_11.log                   3         8.758          -13.997        -11.023        -2.974         0              4.547          -7.864         
11996452_9_run_13.log                   3         8.820          -15.019        -10.853        -4.166         0              2.943          -7.871         
11996452_9_run_1.log                    5         9.474          -13.160        -9.181         -3.979         0              12.452         -7.691         
11996452_9_run_1.log                    6         9.759          -12.947        -9.755         -3.192         0              12.893         -7.736         
11996452_9_run_13.log                   7         9.807          -13.638        -10.378        -3.260         0              12.862         -7.802         
11996452_9_run_2.log                    5         9.961          -12.707        -9.216         -3.491         0              12.688         -7.685         
11996452_9_run_2.log                    6         10.345         -12.476        -7.930         -4.546         0              12.435         -7.572         
11996452_9_run_2.log                    7         10.518         -12.148        -8.618         -3.530         0              12.684         -7.623         
