File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_5_run_18.log                   1         7.238          -14.032        -7.037         -6.995         0              0.000          -7.528         
11996452_5_run_22.log                   3         8.404          -12.957        -7.469         -5.488         0              3.976          -7.543         
11996452_5_run_3.log                    4         8.752          -13.063        -8.900         -4.163         0              4.731          -7.666         
11996452_5_run_1.log                    4         8.954          -12.432        -11.374        -1.058         0              11.431         -7.862         
11996452_5_run_20.log                   6         9.215          -12.158        -8.186         -3.972         0              2.921          -7.587         
11996452_5_run_21.log                   5         9.443          -12.022        -7.003         -5.019         0              4.730          -7.484         
11996452_5_run_8.log                    3         9.492          -11.888        -6.820         -5.068         0              4.230          -7.466         
11996452_5_run_5.log                    6         9.503          -12.005        -8.600         -3.405         0              4.895          -7.618         
11996452_5_run_7.log                    9         9.813          -11.989        -6.719         -5.270         0              4.577          -7.459         
11996452_5_run_5.log                    9         9.911          -11.480        -7.436         -4.044         0              3.167          -7.509         
