File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
3b66_ligand_run_20.log                  1         11.411         -58.047        -38.296        -19.751        8              1.220          -11.081        
3b66_ligand_run_20.log                  3         20.486         -54.438        -34.645        -19.793        8              2.419          -10.698        
3b66_ligand_run_10.log                  5         28.065         -47.726        -32.164        -15.562        8              7.733          -10.349        
3b66_ligand_run_21.log                  8         29.044         -44.030        -21.708        -22.322        8              1.824          -9.389         
3b66_ligand_run_16.log                  17        41.061         -37.386        -29.770        -7.616         8              2.492          -9.933         
3b66_ligand_run_21.log                  17        44.443         -34.293        -13.687        -20.606        8              1.918          -8.510         
3b66_ligand_run_2.log                   14        46.949         -31.216        -15.441        -15.775        8              7.716          -8.594         
3b66_ligand_run_4.log                   19        58.419         -22.410        -11.786        -10.624        8              7.903          -8.103         
