File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_4_run_24.log                   1         -1.927         -22.965        -22.776        -0.189         0              0.000          -9.043         
11996452_4_run_24.log                   2         -0.820         -22.198        -21.902        -0.296         0              4.092          -8.953         
11996452_4_run_24.log                   3         -0.682         -22.194        -19.422        -2.772         0              4.489          -8.744         
11996452_4_run_21.log                   4         0.074          -20.964        -20.732        -0.232         0              4.289          -8.829         
11996452_4_run_13.log                   5         0.717          -21.403        -20.464        -0.939         0              5.411          -8.815         
11996452_4_run_10.log                   8         3.245          -17.794        -17.951        0.157          0              2.142          -8.528         
11996452_4_run_19.log                   10        3.290          -17.749        -17.982        0.233          0              4.932          -8.530         
11996452_4_run_6.log                    11        4.242          -16.802        -16.864        0.062          0              4.314          -8.416         
11996452_4_run_8.log                    12        5.802          -15.615        -14.534        -1.081         0              4.151          -8.195         
11996452_4_run_15.log                   13        7.080          -13.955        -13.919        -0.036         0              4.148          -8.108         
