File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_9_run_4.log                    1         -1.176         -23.919        -19.986        -3.933         0              0.000          -8.827         
11996452_9_run_14.log                   2         -0.719         -23.385        -23.501        0.116          0              4.449          -9.113         
11996452_9_run_6.log                    3         1.898          -20.837        -19.987        -0.850         0              3.531          -8.763         
11996452_9_run_6.log                    4         2.885          -19.969        -16.134        -3.835         0              2.591          -8.420         
11996452_9_run_11.log                   6         3.255          -19.419        -18.705        -0.714         0              2.112          -8.626         
11996452_9_run_17.log                   7         4.154          -18.745        -18.199        -0.546         0              4.969          -8.569         
11996452_9_run_12.log                   8         4.253          -18.426        -18.317        -0.109         0              4.222          -8.572         
11996452_9_run_5.log                    9         5.099          -17.558        -17.107        -0.451         0              4.098          -8.452         
11996452_9_run_6.log                    9         5.413          -17.308        -16.729        -0.579         0              4.194          -8.415         
11996452_9_run_6.log                    11        9.574          -13.098        -12.928        -0.170         0              4.964          -8.007         
