File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_8_run_10.log                   1         -2.096         -23.964        -21.936        -2.028         0              0.000          -8.993         
11996452_8_run_17.log                   2         1.184          -20.698        -19.325        -1.373         0              4.782          -8.705         
11996452_8_run_14.log                   3         1.485          -20.466        -14.428        -6.038         0              5.358          -8.286         
11996452_8_run_14.log                   4         1.593          -20.407        -16.107        -4.300         0              5.714          -8.427         
11996452_8_run_20.log                   5         1.738          -19.855        -19.573        -0.282         0              3.655          -8.708         
11996452_8_run_14.log                   6         2.345          -19.265        -18.760        -0.505         0              4.375          -8.627         
11996452_8_run_13.log                   8         3.367          -18.224        -18.067        -0.157         0              3.940          -8.547         
11996452_8_run_23.log                   11        6.506          -15.084        -11.528        -3.556         0              3.697          -7.930         
11996452_8_run_10.log                   13        7.134          -14.456        -14.098        -0.358         0              4.545          -8.134         
11996452_8_run_8.log                    14        7.799          -13.793        -12.947        -0.846         0              3.815          -8.023         
