File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_11_run_18.log                  1         -2.373         -23.915        -19.143        -4.772         0              0.000          -8.756         
11996452_11_run_4.log                   2         -2.121         -23.290        -21.312        -1.978         0              5.646          -8.926         
11996452_11_run_16.log                  3         -0.992         -22.124        -17.283        -4.841         0              3.604          -8.562         
11996452_11_run_23.log                  4         0.688          -20.484        -20.213        -0.271         0              5.283          -8.775         
11996452_11_run_18.log                  6         1.300          -19.624        -19.325        -0.299         0              4.306          -8.682         
11996452_11_run_4.log                   8         2.432          -18.747        -17.488        -1.259         0              3.621          -8.509         
11996452_11_run_3.log                   8         2.629          -18.277        -18.221        -0.056         0              2.688          -8.561         
11996452_11_run_17.log                  11        2.759          -18.425        -16.018        -2.407         0              2.249          -8.378         
11996452_11_run_14.log                  14        4.302          -16.615        -13.035        -3.580         0              5.630          -8.089         
11996452_11_run_10.log                  15        7.069          -13.837        -13.478        -0.359         0              4.180          -8.069         
