File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_run_23.log                     1         -1.259         -23.848        -19.852        -3.996         0              0.000          -8.814         
11996452_run_9.log                      2         1.505          -20.902        -18.847        -2.055         0              5.537          -8.668         
11996452_run_6.log                      4         1.545          -20.627        -20.427        -0.200         0              4.721          -8.796         
11996452_run_23.log                     5         1.735          -20.961        -15.460        -5.501         0              3.594          -8.383         
11996452_run_24.log                     6         1.827          -20.581        -19.229        -1.352         0              3.616          -8.694         
11996452_run_7.log                      9         4.492          -17.877        -17.539        -0.338         0              4.283          -8.495         
11996452_run_4.log                      9         5.416          -16.804        -16.214        -0.590         0              3.753          -8.361         
11996452_run_19.log                     13        5.734          -16.599        -13.197        -3.402         0              2.162          -8.102         
11996452_run_14.log                     11        5.908          -16.264        -13.464        -2.800         0              5.326          -8.118         
11996452_run_7.log                      14        6.990          -15.186        -14.308        -0.878         0              4.331          -8.167         
