File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_10_run_1.log                   1         -2.105         -23.514        -23.420        -0.094         0              0.000          -9.109         
11996452_10_run_9.log                   2         -1.389         -22.793        -22.660        -0.133         0              4.963          -9.030         
11996452_10_run_8.log                   3         -1.333         -22.800        -22.508        -0.292         0              3.865          -9.017         
11996452_10_run_1.log                   5         -0.166         -21.789        -20.694        -1.095         0              3.737          -8.843         
11996452_10_run_12.log                  6         1.137          -20.267        -16.506        -3.761         0              3.913          -8.457         
11996452_10_run_22.log                  7         1.398          -20.205        -19.196        -1.009         0              3.998          -8.684         
11996452_10_run_9.log                   8         1.533          -20.037        -19.602        -0.435         0              4.321          -8.714         
11996452_10_run_14.log                  13        3.284          -18.195        -16.498        -1.697         0              3.882          -8.414         
11996452_10_run_9.log                   16        3.893          -17.511        -16.873        -0.638         0              3.991          -8.431         
11996452_10_run_9.log                   18        6.301          -15.285        -14.881        -0.404         0              2.462          -8.217         
