File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_7_run_13.log                   1         1.298          -20.206        -19.468        -0.738         0              0.000          -8.707         
11996452_7_run_9.log                    2         1.426          -20.092        -19.851        -0.241         0              4.351          -8.737         
11996452_7_run_11.log                   2         1.533          -19.974        -20.105        0.131          0              3.689          -8.756         
11996452_7_run_20.log                   4         2.284          -19.615        -19.277        -0.338         0              5.120          -8.678         
11996452_7_run_15.log                   8         4.165          -17.343        -17.155        -0.188         0              4.317          -8.452         
11996452_7_run_20.log                   10        5.755          -15.745        -15.659        -0.086         0              3.966          -8.292         
11996452_7_run_14.log                   11        5.863          -15.646        -15.727        0.081          0              3.659          -8.296         
11996452_7_run_22.log                   12        6.060          -15.484        -15.185        -0.299         0              2.261          -8.247         
11996452_7_run_5.log                    14        8.728          -13.198        -13.292        0.094          0              5.013          -8.040         
11996452_7_run_22.log                   14        8.770          -13.427        -9.706         -3.721         0              2.632          -7.741         
