File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_2_run_17.log                   1         -3.401         -24.429        -19.844        -4.585         0              0.000          -8.826         
11996452_2_run_3.log                    2         -2.283         -23.309        -23.213        -0.096         0              4.026          -9.087         
11996452_2_run_2.log                    4         -1.894         -23.002        -22.019        -0.983         0              4.060          -8.980         
11996452_2_run_19.log                   5         -1.828         -22.866        -21.237        -1.629         0              3.865          -8.911         
11996452_2_run_2.log                    6         -1.313         -22.335        -22.171        -0.164         0              3.757          -8.979         
11996452_2_run_11.log                   7         -0.646         -21.681        -21.440        -0.241         0              4.566          -8.904         
11996452_2_run_3.log                    11        4.222          -16.846        -16.513        -0.333         0              4.261          -8.387         
11996452_2_run_24.log                   12        4.610          -16.463        -15.790        -0.673         0              5.156          -8.318         
11996452_2_run_3.log                    13        5.493          -15.665        -14.565        -1.100         0              4.686          -8.198         
11996452_2_run_10.log                   15        5.807          -15.230        -13.362        -1.868         0              5.947          -8.088         
