File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_5_run_3.log                    1         10.064         -11.266        -7.356         -3.910         0              0.000          -7.498         
11996452_5_run_5.log                    2         10.581         -10.788        -10.111        -0.677         0              3.773          -7.721         
11996452_5_run_3.log                    3         13.596         -7.800         -6.559         -1.241         0              5.371          -7.359         
11996452_5_run_21.log                   4         14.662         -6.726         -6.585         -0.141         0              2.744          -7.339         
11996452_5_run_18.log                   4         14.697         -6.583         -5.170         -1.413         0              3.160          -7.216         
11996452_5_run_1.log                    7         18.299         -3.350         -1.413         -1.937         0              5.427          -6.832         
11996452_5_run_22.log                   9         19.328         -2.042         -1.247         -0.795         0              3.954          -6.791         
11996452_5_run_4.log                    10        19.351         -2.016         0.515          -2.531         0              3.661          -6.641         
11996452_5_run_13.log                   11        21.717         0.315          0.736          -0.421         0              4.704          -6.574         
11996452_5_run_11.log                   12        23.866         2.497          7.422          -4.925         0              3.586          -5.964         
