File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_7_run_7.log                    1         11.906         -9.775         -8.261         -1.514         0              0.000          -7.544         
11996452_7_run_15.log                   2         14.830         -6.717         -5.843         -0.874         0              4.180          -7.276         
11996452_7_run_24.log                   3         15.902         -6.064         -3.004         -3.060         0              4.235          -7.023         
11996452_7_run_9.log                    4         16.528         -5.359         0.294          -5.653         0              5.876          -6.729         
11996452_7_run_13.log                   5         18.070         -3.824         -2.871         -0.953         0              2.158          -6.965         
11996452_7_run_17.log                   7         18.255         -3.724         -1.467         -2.257         0              4.958          -6.844         
11996452_7_run_6.log                    8         19.157         -2.371         3.027          -5.398         0              5.508          -6.436         
11996452_7_run_12.log                   10        22.198         0.660          0.775          -0.115         0              4.152          -6.564         
11996452_7_run_11.log                   12        24.395         2.726          5.756          -3.030         0              4.828          -6.100         
11996452_7_run_8.log                    16        26.600         5.093          5.740          -0.647         0              3.704          -6.053         
