File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_4_run_22.log                   1         12.241         -9.144         -3.996         -5.148         0              0.000          -7.170         
11996452_4_run_15.log                   2         13.479         -7.910         -5.781         -2.129         0              3.558          -7.295         
11996452_4_run_24.log                   3         14.371         -6.806         -5.879         -0.927         0              6.005          -7.281         
11996452_4_run_23.log                   4         16.015         -5.041         -4.113         -0.928         0              5.007          -7.095         
11996452_4_run_3.log                    5         17.767         -3.823         -2.154         -1.669         0              4.191          -6.904         
11996452_4_run_15.log                   7         19.196         -1.850         -0.854         -0.996         0              5.741          -6.754         
11996452_4_run_7.log                    8         19.665         -1.757         2.864          -4.621         0              3.701          -6.438         
11996452_4_run_12.log                   9         20.801         -1.402         -0.050         -1.352         0              3.662          -6.676         
11996452_4_run_22.log                   9         20.863         -0.187         -0.358         0.171          0              4.481          -6.677         
11996452_4_run_2.log                    13        21.503         0.465          0.319          0.146          0              4.191          -6.607         
