File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_8_run_12.log                   1         12.934         -8.657         -6.964         -1.693         0              0.000          -7.411         
11996452_8_run_21.log                   2         13.427         -8.454         -8.385         -0.069         0              4.128          -7.527         
11996452_8_run_21.log                   3         14.042         -7.969         -6.585         -1.384         0              3.870          -7.365         
11996452_8_run_24.log                   4         15.390         -6.849         -2.016         -4.833         0              5.246          -6.955         
11996452_8_run_12.log                   5         19.661         -1.934         2.072          -4.006         0              4.074          -6.508         
11996452_8_run_19.log                   7         19.794         -2.109         -0.590         -1.519         0              2.523          -6.737         
11996452_8_run_22.log                   7         21.514         -0.382         0.359          -0.741         0              3.859          -6.621         
11996452_8_run_8.log                    8         22.500         0.738          1.425          -0.687         0              4.302          -6.508         
11996452_8_run_9.log                    11        24.287         2.691          2.994          -0.303         0              3.638          -6.335         
11996452_8_run_1.log                    14        27.468         5.861          7.030          -1.169         0              3.943          -5.928         
