File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_6_run_5.log                    1         12.711         -10.005        -9.182         -0.823         0              0.000          -7.626         
11996452_6_run_16.log                   2         14.260         -9.156         -6.522         -2.634         0              3.781          -7.384         
11996452_6_run_2.log                    3         15.428         -7.647         -6.667         -0.980         0              4.421          -7.365         
11996452_6_run_9.log                    4         16.876         -5.876         -2.054         -3.822         0              3.914          -6.938         
11996452_6_run_10.log                   5         21.213         -1.498         -1.026         -0.472         0              4.432          -6.761         
11996452_6_run_2.log                    7         22.805         0.115          0.375          -0.260         0              3.903          -6.609         
11996452_6_run_11.log                   9         23.108         0.097          0.914          -0.817         0              5.051          -6.564         
11996452_6_run_12.log                   10        26.058         2.983          3.973          -0.990         0              4.284          -6.246         
11996452_6_run_1.log                    11        26.762         3.420          7.610          -4.190         0              4.583          -5.929         
11996452_6_run_10.log                   13        27.369         4.256          5.673          -1.417         0              3.887          -6.076         
