File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_3_run_10.log                   1         8.433          -12.327        -11.081        -1.246         0              0.000          -7.835         
11996452_3_run_15.log                   2         12.235         -8.368         -7.720         -0.648         0              4.644          -7.469         
11996452_3_run_23.log                   3         13.418         -7.003         -1.381         -5.622         0              3.725          -6.905         
11996452_3_run_8.log                    4         13.974         -6.496         -4.823         -1.673         0              5.208          -7.185         
11996452_3_run_16.log                   7         17.446         -3.016         -2.419         -0.597         0              3.498          -6.910         
11996452_3_run_3.log                    8         17.623         -3.004         -2.253         -0.751         0              3.043          -6.896         
11996452_3_run_5.log                    9         17.983         -2.385         -1.946         -0.439         0              4.130          -6.857         
11996452_3_run_20.log                   10        19.583         -0.784         -0.682         -0.102         0              3.811          -6.717         
11996452_3_run_2.log                    14        22.827         2.440          4.481          -2.041         0              4.877          -6.214         
11996452_3_run_9.log                    13        23.007         2.583          3.403          -0.820         0              2.084          -6.302         
