File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_run_4.log                      1         14.516         -7.900         -6.914         -0.986         0              0.000          -7.391         
11996452_run_1.log                      2         15.926         -6.379         -5.755         -0.624         0              4.445          -7.262         
11996452_run_16.log                     3         16.146         -6.034         -4.034         -2.000         0              4.247          -7.109         
11996452_run_2.log                      4         16.183         -6.509         -4.135         -2.374         0              3.343          -7.127         
11996452_run_5.log                      5         16.427         -5.748         -5.645         -0.103         0              4.055          -7.239         
11996452_run_9.log                      6         19.533         -2.773         -1.984         -0.789         0              3.539          -6.868         
11996452_run_19.log                     7         20.028         -2.382         -0.855         -1.527         0              2.902          -6.765         
11996452_run_19.log                     8         21.295         -1.098         4.158          -5.256         0              3.805          -6.315         
11996452_run_8.log                      10        22.955         0.773          1.422          -0.649         0              4.486          -6.507         
11996452_run_9.log                      11        23.430         1.253          1.505          -0.252         0              3.869          -6.490         
