File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_11_run_12.log                  1         2.988          -17.932        -9.224         -8.708         0              0.000          -7.794         
11996452_11_run_17.log                  2         4.387          -16.592        -10.064        -6.528         0              3.520          -7.837         
11996452_11_run_9.log                   3         5.135          -16.038        -15.888        -0.150         0              13.207         -8.318         
11996452_11_run_7.log                   6         6.816          -14.091        -9.232         -4.859         0              5.203          -7.715         
11996452_11_run_22.log                  7         7.108          -14.281        -9.052         -5.229         0              3.703          -7.704         
11996452_11_run_12.log                  7         7.128          -13.905        -9.319         -4.586         0              4.758          -7.718         
11996452_11_run_17.log                  5         7.282          -13.888        -8.191         -5.697         0              3.880          -7.623         
11996452_11_run_23.log                  8         7.449          -13.457        -9.334         -4.123         0              3.808          -7.710         
11996452_11_run_10.log                  10        7.555          -13.355        -7.200         -6.155         0              3.656          -7.528         
11996452_11_run_13.log                  9         7.637          -13.270        -8.710         -4.560         0              3.813          -7.654         
