File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_6_run_3.log                    1         2.010          -21.005        -21.186        0.181          0              0.000          -8.868         
11996452_6_run_9.log                    2         4.662          -18.050        -18.158        0.108          0              3.756          -8.551         
11996452_6_run_24.log                   3         6.655          -16.038        -8.446         -7.592         0              13.479         -7.689         
11996452_6_run_11.log                   3         7.140          -15.551        -15.354        -0.197         0              3.980          -8.263         
11996452_6_run_20.log                   5         7.244          -16.164        -15.129        -1.035         0              4.056          -8.256         
11996452_6_run_5.log                    5         7.378          -15.679        -9.554         -6.125         0              13.263         -7.775         
11996452_6_run_9.log                    6         7.703          -15.065        -9.453         -5.612         0              13.086         -7.754         
11996452_6_run_2.log                    5         7.889          -15.524        -13.048        -2.476         0              4.472          -8.067         
11996452_6_run_20.log                   8         8.075          -15.341        -6.783         -8.558         0              13.702         -7.534         
11996452_6_run_19.log                   9         8.642          -14.093        -7.261         -6.832         0              14.263         -7.548         
