File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_run_17.log                     1         4.648          -17.542        -9.320         -8.222         0              0.000          -7.794         
11996452_run_20.log                     2         6.661          -15.976        -7.336         -8.640         0              4.229          -7.594         
11996452_run_9.log                      6         7.500          -15.027        -10.682        -4.345         0              2.842          -7.857         
11996452_run_3.log                      5         7.933          -14.437        -8.952         -5.485         0              4.082          -7.698         
11996452_run_1.log                      8         8.110          -14.425        -11.034        -3.391         0              3.621          -7.874         
11996452_run_22.log                     8         8.183          -14.480        -9.248         -5.232         0              3.360          -7.724         
11996452_run_3.log                      9         8.433          -13.740        -8.180         -5.560         0              5.113          -7.619         
11996452_run_12.log                     9         8.459          -13.910        -13.883        -0.027         0              13.295         -8.104         
11996452_run_1.log                      13        8.496          -13.686        -9.614         -4.072         0              3.785          -7.739         
11996452_run_16.log                     15        8.792          -13.385        -7.986         -5.399         0              3.727          -7.595         
