File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_2_run_12.log                   1         1.700          -19.323        -19.188        -0.135         0              0.000          -8.665         
11996452_2_run_3.log                    2         3.991          -17.082        -9.634         -7.448         0              13.599         -7.811         
11996452_2_run_22.log                   3         5.608          -15.413        -10.154        -5.259         0              13.197         -7.820         
11996452_2_run_3.log                    3         5.708          -15.315        -15.187        -0.128         0              4.003          -8.244         
11996452_2_run_20.log                   5         6.388          -14.764        -10.913        -3.851         0              12.948         -7.871         
11996452_2_run_3.log                    4         6.395          -14.643        -9.136         -5.507         0              13.288         -7.718         
11996452_2_run_23.log                   6         6.853          -14.290        -9.726         -4.564         0              13.318         -7.761         
11996452_2_run_7.log                    6         7.203          -13.898        -8.832         -5.066         0              12.873         -7.677         
11996452_2_run_1.log                    10        7.737          -13.338        -9.038         -4.300         0              13.082         -7.683         
11996452_2_run_18.log                   10        7.831          -13.554        -9.893         -3.661         0              13.076         -7.760         
