File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_3_run_10.log                   1         2.350          -18.014        -9.340         -8.674         0              0.000          -7.805         
11996452_3_run_7.log                    2         3.779          -16.628        -10.181        -6.447         0              3.467          -7.848         
11996452_3_run_16.log                   3         4.026          -16.580        -16.459        -0.121         0              13.119         -8.377         
11996452_3_run_7.log                    5         4.923          -15.439        -15.149        -0.290         0              13.123         -8.243         
11996452_3_run_14.log                   5         5.205          -15.159        -12.000        -3.159         0              4.893          -7.971         
11996452_3_run_15.log                   6         5.243          -15.368        -11.063        -4.305         0              2.091          -7.896         
11996452_3_run_19.log                   9         6.014          -14.594        -12.706        -1.888         0              12.819         -8.019         
11996452_3_run_19.log                   10        6.511          -13.861        -9.397         -4.464         0              3.800          -7.724         
11996452_3_run_8.log                    10        6.538          -14.078        -9.196         -4.882         0              4.005          -7.712         
11996452_3_run_23.log                   12        6.602          -13.759        -9.121         -4.638         0              5.148          -7.699         
