File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_10_run_10.log                  1         17.768         -3.698         -3.779         0.081          0              0.000          -7.039         
11996452_10_run_7.log                   2         19.949         -1.690         -0.646         -1.044         0              3.694          -6.733         
11996452_10_run_22.log                  4         29.604         8.164          9.813          -1.649         0              4.453          -5.645         
11996452_10_run_14.log                  5         32.831         11.244         12.345         -1.101         0              3.563          -5.367         
11996452_10_run_6.log                   6         35.236         13.767         14.163         -0.396         0              4.340          -5.161         
11996452_10_run_17.log                  7         36.892         15.405         16.267         -0.862         0              3.656          -4.950         
11996452_10_run_21.log                  8         37.009         15.529         15.857         -0.328         0              2.174          -4.982         
11996452_10_run_9.log                   10        43.754         22.330         22.907         -0.577         0              3.763          -4.245         
11996452_10_run_3.log                   11        46.050         24.583         25.008         -0.425         0              4.140          -4.021         
11996452_10_run_23.log                  11        46.215         24.792         26.623         -1.831         0              4.059          -3.880         
