File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_11_run_13.log                  1         16.827         -4.311         -3.439         -0.872         0              0.000          -7.023         
11996452_11_run_22.log                  2         20.846         -0.288         -0.049         -0.239         0              4.086          -6.653         
11996452_11_run_5.log                   3         23.876         2.642          3.945          -1.303         0              3.768          -6.255         
11996452_11_run_2.log                   4         28.756         7.756          13.341         -5.585         0              3.553          -5.355         
11996452_11_run_19.log                  5         28.840         7.502          10.019         -2.517         0              3.578          -5.641         
11996452_11_run_24.log                  7         33.528         12.391         15.263         -2.872         0              3.989          -5.097         
11996452_11_run_4.log                   9         38.082         16.910         17.342         -0.432         0              4.150          -4.828         
11996452_11_run_11.log                  9         39.127         17.892         19.571         -1.679         0              5.086          -4.619         
11996452_11_run_17.log                  12        42.674         21.538         22.536         -0.998         0              5.953          -4.293         
11996452_11_run_17.log                  13        50.347         29.087         31.011         -1.924         0              4.766          -3.421         
