File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_6_run_18.log                   1         25.374         2.648          4.764          -2.116         0              0.000          -6.186         
11996452_6_run_19.log                   2         30.817         7.636          8.564          -0.928         0              3.883          -5.761         
11996452_6_run_7.log                    4         42.808         20.119         20.481         -0.362         0              4.189          -4.496         
11996452_6_run_13.log                   5         42.838         19.428         21.129         -1.701         0              3.909          -4.456         
11996452_6_run_12.log                   8         50.308         26.898         35.783         -8.885         0              3.530          -3.063         
11996452_6_run_4.log                    9         54.113         31.098         31.026         0.072          0              4.998          -3.378         
11996452_6_run_14.log                   12        58.630         35.869         37.617         -1.748         0              4.221          -2.722         
11996452_6_run_19.log                   13        59.536         36.463         38.026         -1.563         0              5.111          -2.675         
11996452_6_run_7.log                    15        61.983         39.292         39.546         -0.254         0              4.046          -2.488         
11996452_6_run_15.log                   16        64.020         39.856         44.540         -4.684         0              3.873          -2.055         
