File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_4_run_9.log                    1         17.781         -3.307         -3.220         -0.087         0              0.000          -6.984         
11996452_4_run_9.log                    2         23.759         2.590          2.767          -0.177         0              4.111          -6.356         
11996452_4_run_10.log                   3         24.202         2.796          4.063          -1.267         0              3.645          -6.242         
11996452_4_run_24.log                   6         30.475         9.090          9.611          -0.521         0              4.157          -5.643         
11996452_4_run_23.log                   7         31.066         9.831          11.034         -1.203         0              3.662          -5.507         
11996452_4_run_2.log                    8         31.155         9.784          11.704         -1.920         0              4.721          -5.452         
11996452_4_run_19.log                   12        33.969         11.799         12.704         -0.905         0              3.634          -5.325         
11996452_4_run_1.log                    12        36.640         15.237         15.822         -0.585         0              3.819          -4.991         
11996452_4_run_19.log                   14        37.385         15.905         17.436         -1.531         0              3.685          -4.841         
11996452_4_run_24.log                   15        42.104         21.066         21.023         0.043          0              4.434          -4.431         
