File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_run_12.log                     1         23.195         0.667          2.091          -1.424         0              0.000          -6.453         
11996452_run_12.log                     2         27.521         5.100          5.673          -0.573         0              3.264          -6.058         
11996452_run_12.log                     4         31.089         8.919          15.099         -6.180         0              3.908          -5.183         
11996452_run_1.log                      5         33.249         10.721         11.089         -0.368         0              3.708          -5.484         
11996452_run_13.log                     7         37.152         14.833         17.008         -2.175         0              3.851          -4.899         
11996452_run_14.log                     8         38.871         16.566         18.183         -1.617         0              3.994          -4.764         
11996452_run_12.log                     9         42.450         20.000         21.372         -1.372         0              3.955          -4.423         
11996452_run_11.log                     10        44.811         22.429         23.356         -0.927         0              4.772          -4.205         
11996452_run_12.log                     11        48.646         26.275         26.601         -0.326         0              3.969          -3.852         
11996452_run_4.log                      11        48.737         26.472         26.918         -0.446         0              4.642          -3.821         
