File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_3_run_21.log                   1         23.266         2.662          3.043          -0.381         0              0.000          -6.331         
11996452_3_run_22.log                   2         27.573         6.760          8.705          -1.945         0              3.580          -5.768         
11996452_3_run_14.log                   3         27.920         7.293          8.558          -1.265         0              3.983          -5.769         
11996452_3_run_10.log                   4         29.818         8.914          12.338         -3.424         0              3.689          -5.416         
11996452_3_run_7.log                    7         34.797         13.978         20.695         -6.717         0              4.853          -4.605         
11996452_3_run_14.log                   9         38.847         18.241         18.697         -0.456         0              2.036          -4.686         
11996452_3_run_1.log                    10        42.050         21.436         24.097         -2.661         0              4.674          -4.163         
11996452_3_run_13.log                   12        47.178         26.800         27.647         -0.847         0              4.583          -3.752         
11996452_3_run_7.log                    13        48.256         27.813         28.159         -0.346         0              5.084          -3.688         
11996452_3_run_9.log                    14        48.610         27.646         29.398         -1.752         0              3.061          -3.587         
